Entity,Code,Year,Oilspotprice
Nigerian Forcados,,1996,133.10143
Nigerian Forcados,,1997,121.58012
Nigerian Forcados,,1998,79.4168
Nigerian Forcados,,1999,113.11486
Nigerian Forcados,,2000,178.74138
Nigerian Forcados,,2001,152.38104
Nigerian Forcados,,2002,157.49025
Nigerian Forcados,,2003,180.41565
Nigerian Forcados,,2004,239.83104
Nigerian Forcados,,2005,350.27188
Nigerian Forcados,,2006,421.8291
Nigerian Forcados,,2007,468.48438
Nigerian Forcados,,2008,637.9798
Nigerian Forcados,,2009,398.44592
Nigerian Forcados,,2010,509.8156
Nigerian Forcados,,2011,714.8329
Nigerian Forcados,,2012,718.37115
Nigerian Forcados,,2013,704.1135
Nigerian Forcados,,2014,637.46515
Nigerian Forcados,,2015,342.21536
Nigerian Forcados,,2016,280.14594
Nigerian Forcados,,2017,341.60678
Nigerian Forcados,,2018,455.80026
Nigerian Forcados,,2019,408.50458
Nigerian Forcados,,2020,266.11984
Nigerian Forcados,,2021,438.78055
Nigerian Forcados,,2022,637.7857
West Texas Intermediate,,1976,76.92425
West Texas Intermediate,,1977,89.440956
West Texas Intermediate,,1978,91.516594
West Texas Intermediate,,1979,157.74818
West Texas Intermediate,,1980,238.7608
West Texas Intermediate,,1981,226.93599
West Texas Intermediate,,1982,211.65178
West Texas Intermediate,,1983,190.58093
West Texas Intermediate,,1984,184.86145
West Texas Intermediate,,1985,176.01816
West Texas Intermediate,,1986,94.670296
West Texas Intermediate,,1987,120.67896
West Texas Intermediate,,1988,100.52153
West Texas Intermediate,,1989,123.746895
West Texas Intermediate,,1990,153.87225
West Texas Intermediate,,1991,135.42857
West Texas Intermediate,,1992,129.37595
West Texas Intermediate,,1993,116.04631
West Texas Intermediate,,1994,108.21989
West Texas Intermediate,,1995,115.8741
West Texas Intermediate,,1996,139.38756
West Texas Intermediate,,1997,129.65254
West Texas Intermediate,,1998,90.484085
West Texas Intermediate,,1999,121.481575
West Texas Intermediate,,2000,190.99976
West Texas Intermediate,,2001,163.1058
West Texas Intermediate,,2002,164.55563
West Texas Intermediate,,2003,195.37527
West Texas Intermediate,,2004,260.94928
West Texas Intermediate,,2005,355.94543
West Texas Intermediate,,2006,415.35797
West Texas Intermediate,,2007,454.1444
West Texas Intermediate,,2008,629.37256
West Texas Intermediate,,2009,389.4812
West Texas Intermediate,,2010,499.7211
West Texas Intermediate,,2011,597.757
West Texas Intermediate,,2012,592.03754
West Texas Intermediate,,2013,616.3518
West Texas Intermediate,,2014,586.7291
West Texas Intermediate,,2015,306.35986
West Texas Intermediate,,2016,272.61697
West Texas Intermediate,,2017,319.47562
West Texas Intermediate,,2018,410.12436
West Texas Intermediate,,2019,358.70908
West Texas Intermediate,,2020,246.84393
West Texas Intermediate,,2021,428.30945
West Texas Intermediate,,2022,594.8893
